created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 05:01:23 +0000 2023;1718493209645781426;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  12:00pm polusi udara yg bersumber dr laut utara jakarta sangat tinggi. Sumber inilah yg mencemari udara kota jakarta Krn angin dtg dr laut ke darat https://t.co/7mc6kBzP3Q";1;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718493209645781426
Sun Oct 29 00:59:28 +0000 2023;1718432328782160075;"serius, tapi krn di Jakarta ga ada udara se"nyaman" ini, bener2 SENENG BANGET memutuskan datang kesini, walaupun hrs nyetir lama &amp  macet2an di jln puncak raya. HAHAHA.   tp bener2 kyk menghirup udara bersih, seger, bebas polusi, dgn pohon2 &amp  hijau2an disekitar, HEPI❤️🫶";0;1;0;0;in;290410974;1718219257899897072;putricynthiaeka;https://twitter.com/putricynthiaeka/status/1718432328782160075
Sat Oct 28 22:58:01 +0000 2023;1718401763001459116;"Apakah yg akan menjadi nilai2 kehidupan jika udara yg bersih bebas polusi udara aja tdk di jamin oleh pemerintah gajian inii 🤢";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718401763001459116
Sat Oct 28 22:57:37 +0000 2023;1718401662652695014;"Pemerintahan yg baik dan berhasil pasti tidak akan senang melihat keadaan buruk sprti ini. Tolong jgn di biarkan keburukan ini berulang sprti berlangganan.. sayangilah sesamamu manusia sama sprti engkau menyayangi dirimu sendiri dgn kebijakan yg tepat dan kerja luas yg handal 🙏";0;1;0;0;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718401662652695014
Sat Oct 28 22:57:05 +0000 2023;1718401527042457795;"kota ini di guyur racun udara PM 2,5 heavy metal. Mengerikan bukan. Gak lama tabung oksigen bukan hanya kebutuhan org sakit, tetapi org yg sehat juga membutuhkan tabung Oksigen. Parah ini pemerintahan RI 2019-2024 👎🏻 #polusiUdara #airPollution #Asean #G20 #imf #trending";0;1;0;0;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718401527042457795
Sat Oct 28 22:22:39 +0000 2023;1718392862646182005;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  5:21am jakarta rank 8 dunia.. udara berbau asap dr PLTU batu bara.. PLTU = sumber becana polusi dan kemanusiaan di RI https://t.co/OLhFwv6hhh";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718392862646182005
Sat Oct 28 21:19:07 +0000 2023;1718376874605531350;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  4:18am jakarta rank 10 dunia. Jika sdh sprti ini, udara pagi jakarta pasti akan buruk 🤢 https://t.co/jhKY0OQnYa";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718376874605531350
Sat Oct 28 20:17:22 +0000 2023;1718361335459885469;"Polusi udara Jakarta bulan 10 tgl 21/10/2022 pernah rendah dan baik hingga berhari2. Mengapa tdk di upayakan agar tetap sprti itu. Mengapa hrs pilihannya hrs buruk sprti yg terjadi pd saat ini bulan 10-2023 🤕 semoga pemerintah Ri bersungguh2 mengatasi polusi udara jakarta ya https://t.co/Gt9QoOzBQG";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718361335459885469
Sat Oct 28 20:15:15 +0000 2023;1718360801940328880;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  3:15am jakarta rank 12 dunia. Polusi udara di sisi selatan jakarta kembali meningkat guys. Sumber polusi selalu dr lokasi yg sama 🤦🏻‍♂️ https://t.co/buH4SvWfUL";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718360801940328880
Sat Oct 28 19:32:10 +0000 2023;1718349959618314492;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  29/10/2023 Minggu  2:31am jakarta rank 11 dunia. Sangat penting memantau berkala level polusi udara di jakarta ya guys 🙏🏻🇮🇩 https://t.co/9GeNi34yOV";0;1;0;1;in;1680198797744570369;1718349959618314492;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718349959618314492
Sat Oct 28 17:48:50 +0000 2023;1718323957047398755;"Emang secara hati nurani emang gak bener sih melanggar aturan. Lalu omongan pemimpin juga gak bs di pegang. Hari ini ngomongnya apa, pembuktiannya malah berbeda dgn yg disampaikan diawal. Ini sih super jahat loh ya https://t.co/6UkcNxCivs";0;0;0;1;in;1680198797744570369;1718323957047398755;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718323957047398755
Sat Oct 28 16:20:37 +0000 2023;1718301753073152344;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  11:20pm Jakarta rank 9 dunia. Polusi 24 jam jakarta sangat buruk. Bulan 10 2022 lbh baik keadaannya dr pada bulan 10 2023. Jakarta kemunduruan 👎 https://t.co/AJ3JHr7Rd9";0;0;0;1;in;1680198797744570369;1717955578587484600;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718301753073152344
Sat Oct 28 16:09:46 +0000 2023;1718299023835353171;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  11:08pm PM 2,5: 67 merah unt kemayoran jakarta. Polusi disisi timur kota jakarta terlihat mulai meningkat dgn menebalnya awan coklat di udara 🤢 https://t.co/0ovNAtOtyj";0;1;0;1;in;1680198797744570369;1717955578587484600;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718299023835353171
Sat Oct 28 15:39:48 +0000 2023;1718291482350961127;"@cakimiNOW Semoga depok bebas asap bakar sampah (nabun) bebas asap dr PLTU dan industri. Hidup sehat dgn rendah polusi udara ya depok 🙏🏻 GBU all. Salam perubahan";0;0;0;1;in;1680198797744570369;1718111895314637290;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1718291482350961127
Sat Oct 28 12:30:52 +0000 2023;1718243934793785575;"Siapa mau malmingan sama aku di pinggir jakarta makan mie ayam bawang kuah indomie pake telor sambil nikmatin udara malam Jakarta yang sebenernya kita hirup polusi itu?";0;2;0;0;in;619624700;1718243934793785575;veriemor;https://twitter.com/veriemor/status/1718243934793785575
